"number of E (V), "	I (A) couples: 20000
0.4999	2.58E-13
0.4998	-8.49E-14
0.4997	6.74E-16
0.4996	6.77E-16
0.4995	6.79E-16
0.4994	6.82E-16
0.4993	6.85E-16
0.4992	6.87E-16
0.4991	6.90E-16
0.499	6.93E-16
0.4989	6.95E-16
0.4988	6.98E-16
0.4987	7.01E-16
0.4986	7.03E-16
0.4985	7.06E-16
0.4984	7.09E-16
0.4983	7.12E-16
0.4982	7.14E-16
0.4981	7.17E-16
0.498	7.20E-16
0.4979	7.23E-16
0.4978	7.26E-16
0.4977	7.29E-16
0.4976	7.31E-16
0.4975	7.34E-16
0.4974	7.37E-16
0.4973	7.40E-16
0.4972	7.43E-16
0.4971	7.46E-16
0.497	7.49E-16
0.4969	7.52E-16
0.4968	7.54E-16
0.4967	7.57E-16
0.4966	7.60E-16
0.4965	7.63E-16
0.4964	7.66E-16
0.4963	7.69E-16
0.4962	7.72E-16
0.4961	7.75E-16
0.496	7.78E-16
0.4959	7.81E-16
0.4958	7.84E-16
0.4957	7.87E-16
0.4956	7.91E-16
0.4955	7.94E-16
0.4954	7.97E-16
0.4953	8.00E-16
0.4952	8.03E-16
0.4951	8.06E-16
0.495	8.09E-16
0.4949	8.12E-16
0.4948	8.16E-16
0.4947	8.19E-16
0.4946	8.22E-16
0.4945	8.25E-16
0.4944	8.28E-16
0.4943	8.32E-16
0.4942	8.35E-16
0.4941	8.38E-16
0.494	8.41E-16
0.4939	8.45E-16
0.4938	8.48E-16
0.4937	8.51E-16
0.4936	8.55E-16
0.4935	8.58E-16
0.4934	8.61E-16
0.4933	8.65E-16
0.4932	8.68E-16
0.4931	8.71E-16
0.493	8.75E-16
0.4929	8.78E-16
0.4928	8.82E-16
0.4927	8.85E-16
0.4926	8.88E-16
0.4925	8.92E-16
0.4924	8.95E-16
0.4923	8.99E-16
0.4922	9.02E-16
0.4921	9.06E-16
0.492	9.09E-16
0.4919	9.13E-16
0.4918	9.17E-16
0.4917	9.20E-16
0.4916	9.24E-16
0.4915	9.27E-16
0.4914	9.31E-16
0.4913	9.35E-16
0.4912	9.38E-16
0.4911	9.42E-16
0.491	9.46E-16
0.4909	9.49E-16
0.4908	9.53E-16
0.4907	9.57E-16
0.4906	9.60E-16
0.4905	9.64E-16
0.4904	9.68E-16
0.4903	9.72E-16
0.4902	9.75E-16
0.4901	9.79E-16
0.49	9.83E-16
0.4899	9.87E-16
0.4898	9.91E-16
0.4897	9.95E-16
0.4896	9.98E-16
0.4895	1.00E-15
0.4894	1.01E-15
0.4893	1.01E-15
0.4892	1.01E-15
0.4891	1.02E-15
0.489	1.02E-15
0.4889	1.03E-15
0.4888	1.03E-15
0.4887	1.03E-15
0.4886	1.04E-15
0.4885	1.04E-15
0.4884	1.05E-15
0.4883	1.05E-15
0.4882	1.05E-15
0.4881	1.06E-15
0.488	1.06E-15
0.4879	1.07E-15
0.4878	1.07E-15
0.4877	1.08E-15
0.4876	1.08E-15
0.4875	1.08E-15
0.4874	1.09E-15
0.4873	1.09E-15
0.4872	1.10E-15
0.4871	1.10E-15
0.487	1.10E-15
0.4869	1.11E-15
0.4868	1.11E-15
0.4867	1.12E-15
0.4866	1.12E-15
0.4865	1.13E-15
0.4864	1.13E-15
0.4863	1.14E-15
0.4862	1.14E-15
0.4861	1.14E-15
0.486	1.15E-15
0.4859	1.15E-15
0.4858	1.16E-15
0.4857	1.16E-15
0.4856	1.17E-15
0.4855	1.17E-15
0.4854	1.18E-15
0.4853	1.18E-15
0.4852	1.18E-15
0.4851	1.19E-15
0.485	1.19E-15
0.4849	1.20E-15
0.4848	1.20E-15
0.4847	1.21E-15
0.4846	1.21E-15
0.4845	1.22E-15
0.4844	1.22E-15
0.4843	1.23E-15
0.4842	1.23E-15
0.4841	1.24E-15
0.484	1.24E-15
0.4839	1.25E-15
0.4838	1.25E-15
0.4837	1.26E-15
0.4836	1.26E-15
0.4835	1.27E-15
0.4834	1.27E-15
0.4833	1.28E-15
0.4832	1.28E-15
0.4831	1.29E-15
0.483	1.29E-15
0.4829	1.30E-15
0.4828	1.30E-15
0.4827	1.31E-15
0.4826	1.31E-15
0.4825	1.32E-15
0.4824	1.32E-15
0.4823	1.33E-15
0.4822	1.33E-15
0.4821	1.34E-15
0.482	1.34E-15
0.4819	1.35E-15
0.4818	1.35E-15
0.4817	1.36E-15
0.4816	1.36E-15
0.4815	1.37E-15
0.4814	1.37E-15
0.4813	1.38E-15
0.4812	1.38E-15
0.4811	1.39E-15
0.481	1.40E-15
0.4809	1.40E-15
0.4808	1.41E-15
0.4807	1.41E-15
0.4806	1.42E-15
0.4805	1.42E-15
0.4804	1.43E-15
0.4803	1.43E-15
0.4802	1.44E-15
0.4801	1.45E-15
0.48	1.45E-15
0.4799	1.46E-15
