"number of E (V), I (A) couples: 20000"	
0.4999	2.61E-13
0.4998	-8.14E-14
0.4997	4.14E-15
0.4996	4.15E-15
0.4995	4.17E-15
0.4994	4.18E-15
0.4993	4.20E-15
0.4992	4.22E-15
0.4991	4.23E-15
0.499	4.25E-15
0.4989	4.27E-15
0.4988	4.28E-15
0.4987	4.30E-15
0.4986	4.32E-15
0.4985	4.33E-15
0.4984	4.35E-15
0.4983	4.37E-15
0.4982	4.38E-15
0.4981	4.40E-15
0.498	4.42E-15
0.4979	4.44E-15
0.4978	4.45E-15
0.4977	4.47E-15
0.4976	4.49E-15
0.4975	4.51E-15
0.4974	4.52E-15
0.4973	4.54E-15
0.4972	4.56E-15
0.4971	4.58E-15
0.497	4.59E-15
0.4969	4.61E-15
0.4968	4.63E-15
0.4967	4.65E-15
0.4966	4.67E-15
0.4965	4.68E-15
0.4964	4.70E-15
0.4963	4.72E-15
0.4962	4.74E-15
0.4961	4.76E-15
0.496	4.78E-15
0.4959	4.79E-15
0.4958	4.81E-15
0.4957	4.83E-15
0.4956	4.85E-15
0.4955	4.87E-15
0.4954	4.89E-15
0.4953	4.91E-15
0.4952	4.93E-15
0.4951	4.95E-15
0.495	4.97E-15
0.4949	4.99E-15
0.4948	5.00E-15
0.4947	5.02E-15
0.4946	5.04E-15
0.4945	5.06E-15
0.4944	5.08E-15
0.4943	5.10E-15
0.4942	5.12E-15
0.4941	5.14E-15
0.494	5.16E-15
0.4939	5.18E-15
0.4938	5.20E-15
0.4937	5.22E-15
0.4936	5.24E-15
0.4935	5.26E-15
0.4934	5.28E-15
0.4933	5.31E-15
0.4932	5.33E-15
0.4931	5.35E-15
0.493	5.37E-15
0.4929	5.39E-15
0.4928	5.41E-15
0.4927	5.43E-15
0.4926	5.45E-15
0.4925	5.47E-15
0.4924	5.49E-15
0.4923	5.52E-15
0.4922	5.54E-15
0.4921	5.56E-15
0.492	5.58E-15
0.4919	5.60E-15
0.4918	5.62E-15
0.4917	5.65E-15
0.4916	5.67E-15
0.4915	5.69E-15
0.4914	5.71E-15
0.4913	5.73E-15
0.4912	5.76E-15
0.4911	5.78E-15
0.491	5.80E-15
0.4909	5.82E-15
0.4908	5.85E-15
0.4907	5.87E-15
0.4906	5.89E-15
0.4905	5.92E-15
0.4904	5.94E-15
0.4903	5.96E-15
0.4902	5.99E-15
0.4901	6.01E-15
0.49	6.03E-15
0.4899	6.06E-15
0.4898	6.08E-15
0.4897	6.10E-15
0.4896	6.13E-15
0.4895	6.15E-15
0.4894	6.17E-15
0.4893	6.20E-15
0.4892	6.22E-15
0.4891	6.25E-15
0.489	6.27E-15
0.4889	6.30E-15
0.4888	6.32E-15
0.4887	6.35E-15
0.4886	6.37E-15
0.4885	6.39E-15
0.4884	6.42E-15
0.4883	6.44E-15
0.4882	6.47E-15
0.4881	6.50E-15
0.488	6.52E-15
0.4879	6.55E-15
